[15:14:05] run fixed_qwen2_5-coder_7b_s1: {"W": 4, "max_branches": 8, "max_depth": 6, "K1": 10, "K2": 10, "M": 4, "beta1": 0.005, "beta2": 0.01, "baseline_score": -2.7749999999999915, "seed_program": "funsearch_or", "mode": "fixed", "model": "qwen2.5-coder:7b", "policy_model": "qwen2.5-coder:7b", "rounds": 4, "sampling_seed": 1, "temperature": 0.8, "policy_temperature": 0.7, "policy_timeout": 30.0, "num_ctx": 8192, "num_predict": 1200, "policy_num_predict": 2500, "task": "binpack_uniform_c150", "train_spec": {"seed": 10, "n_inst": 40, "n_items": 200, "cap": 150, "lo": 1, "hi": 100}, "heldout_spec": {"seed": 777, "n_inst": 20, "n_items": 500, "cap": 150, "lo": 1, "hi": 100}, "reference_scores": {"first_fit": -2.7249999999999943, "best_fit": -2.174999999999997, "funsearch_or": -2.7749999999999915}, "code_commit": "eebdd9d", "repair_rounds": 2, "novelty_threshold": 0.95, "embed_model": "bge-m3"}
[15:14:05] baseline scores: {'first_fit': -2.7249999999999943, 'best_fit': -2.174999999999997, 'funsearch_or': -2.7749999999999915}
[15:14:05] === round 1/4: online rollout with policy_round_01.py ===
[15:14:05]   round 0: batch=[0, 0, 0, 0] (legal=[0])
[15:14:45]     node 1 (branch 0, depth 1) -2.775 | Improve the priority function to give higher priority to bins with larger remain
[15:14:45]     node 2 (branch 1, depth 1) -16.500 | Use a piecewise linear function to prioritize bins based on remaining capacity
[15:14:45]     node 3 (branch 2, depth 1) -2.275 | Use a piecewise linear function with more breakpoints to better capture the trad
[15:14:45]     node 4 (branch 3, depth 1) -2.775 | Use a logarithmic scale for the preference scores to give more weight to very la
[15:14:46]   round 1: batch=[1, 2, 3, 4] (legal=[0, 1, 2, 3, 4])
[15:15:36]     node 5 (branch 0, depth 2) -2.175 novelty-retry | Use a linear decay function for preference scores based on remaining capacity.
[15:15:36]     node 6 (branch 1, depth 2) -132.225 novelty-retry | Use a logarithmic scale for the preference scores to give more weight to very la
[15:15:36]     node 7 (branch 2, depth 2) -5.850 dup=round_01#4 novelty-retry | Use a logarithmic scale for the preference scores to give more weight to very la
[15:15:36]     node 8 (branch 3, depth 2) -132.225 | Use a logarithmic scale for the preference scores to give more weight to very la
[15:15:37]   round 2: batch=[5, 6, 7, 8] (legal=[0, 5, 6, 7, 8])
[15:16:34]     node 9 (branch 0, depth 3) -132.225 dup=round_01#5 novelty-retry | Use an exponential decay function for preference scores based on remaining capac
[15:16:34]     node 10 (branch 1, depth 3) -99.450 | Use a piecewise linear function with more breakpoints to better capture the trad
[15:16:34]     node 11 (branch 2, depth 3) -2.175 novelty-retry | Use an exponential decay function for preference scores based on remaining capac
