[06:06:31] run dream_r4: {"W": 4, "max_branches": 8, "max_depth": 6, "K1": 10, "K2": 12, "M": 4, "beta1": 0.005, "beta2": 0.01, "baseline_score": -4.5, "mode": "dream", "model": "qwen2.5-coder:7b", "policy_model": "qwen2.5-coder:7b", "rounds": 4}
[06:06:31] baseline scores: {'first_fit': -4.8500000000000085, 'best_fit': -4.5, 'funsearch_or': -3.424999999999997}
[06:06:31] === round 1/4: online rollout with policy_round_01.py ===
[06:06:31]   round 0: batch=[0, 0, 0, 0] (legal=[0])
[06:06:46]     node 1 (branch 0, depth 1) -4.500 | Penalize bins based on the gap between remaining capacity and item size, favoring larger g
[06:06:46]     node 2 (branch 1, depth 1) -4.500 | Penalize bins with small remaining capacity more heavily, encouraging spreading items over
[06:06:46]     node 3 (branch 2, depth 1) -109.700 | Prioritize based on the logarithm of the remaining capacity to encourage spreading items o
[06:06:46]     node 4 (branch 3, depth 1) -4.500 | Penalty for bins with leftover space smaller than the smallest item (20)
[06:06:46]   round 1: batch=[1, 2, 3, 4] (legal=[0, 1, 2, 3, 4])
[06:07:14]     node 5 (branch 0, depth 2) -4.500 | Penalize bins based on the gap between remaining capacity and item size, but favor smaller
[06:07:14]     node 6 (branch 1, depth 2) -7.625 | Penalize bins with small remaining capacity more heavily, but also consider the item size 
[06:07:14]     node 7 (branch 2, depth 2) -109.700 | Prioritize based on the square root of the remaining capacity to encourage spreading items
[06:07:14]     node 8 (branch 3, depth 2) -4.500 | Penalize bins based on the gap between remaining capacity and item size, favoring exact fi
[06:07:14]   round 2: batch=[5, 6, 7, 8] (legal=[0, 5, 6, 7, 8])
[06:07:50]     node 9 (branch 0, depth 3) -4.500 | Penalize bins based on the gap between remaining capacity and item size, favoring larger g
[06:07:50]     node 10 (branch 1, depth 3) -10.725 | Penalize bins with small remaining capacity more heavily, but also consider the item size 
[06:07:50]     node 11 (branch 2, depth 3) -7.675 | Prioritize based on the ratio of remaining capacity to item size, penalizing gaps that are
[06:07:50]     node 12 (branch 3, depth 3) FAIL: runtime error: candidate.py:8: RuntimeWarning: divide by zero encountered in div | Prioritize bins based on the logarithm of the remaining capacity and the gap to the next i
[06:07:50]   round 3: batch=[9, 10, 11, 12] (legal=[0, 9, 10, 11, 12])
[06:08:31]     node 13 (branch 0, depth 4) -4.500 | Penalize bins based on the gap between remaining capacity and item size, favoring larger g
[06:08:31]     node 14 (branch 1, depth 4) -10.725 | Penalize bins with small remaining capacity more heavily, consider item size, and use a no
[06:08:31]     node 15 (branch 2, depth 4) -7.675 | Prioritize based on the ratio of remaining capacity to item size, but penalize gaps that a
[06:08:31]     node 16 (branch 3, depth 4) FAIL: runtime error: candidate.py:9: RuntimeWarning: divide by zero encountered in div | Prioritize bins based on the logarithm of the remaining capacity and the gap to the next i
[06:08:31]   round 4: batch=[13, 14, 15, 16] (legal=[0, 13, 14, 15, 16])
[06:09:15]     node 17 (branch 0, depth 5) -4.500 | Penalize bins based on the gap between remaining capacity and item size, favoring larger g
[06:09:15]     node 18 (branch 1, depth 5) -6.600 | Penalize bins with small remaining capacity more heavily, consider item size, and use a no
[06:09:15]     node 19 (branch 2, depth 5) -4.500 | Prioritize based on the logarithm of the remaining capacity and the gap to the smallest it
[06:09:15]     node 20 (branch 3, depth 5) FAIL: runtime error: candidate.py:9: RuntimeWarning: divide by zero encountered in div | Prioritize bins based on the logarithm of the remaining capacity and the gap to the next i
[06:09:15]   round 5: batch=[17, 18, 19, 20] (legal=[0, 17, 18, 19, 20])
[06:10:06]     node 21 (branch 0, depth 6) -43.875 | Penalize bins based on the gap between remaining capacity and item size, favoring larger g
[06:10:06]     node 22 (branch 1, depth 6) -6.600 | Penalize bins with small remaining capacity more heavily, consider item size, and use a no
[06:10:06]     node 23 (branch 2, depth 6) -4.500 | Prioritize based on the logarithm of the remaining capacity, adjusted for the gap to the s
[06:10:06]     node 24 (branch 3, depth 6) FAIL: runtime error: candidate.py:9: RuntimeWarning: divide by zero encountered in div | Prioritize bins based on the logarithm of the remaining capacity and the gap to the next i
[06:10:06]   round 6: policy chose to stop
[06:10:06] round 1 done: 24 calls in 214.8s, round best -4.5, best so far -4.5 (held-out -10.800000000000011), cumulative 24
[06:10:06] --- dreaming over 1 replay world(s) ---
[06:10:06]   dream v00 (incumbent): mean V = -4.5800
[06:10:28]   dream v01: mean V = -4.5240
[06:10:49]   dream v02: mean V = -4.4800
[06:11:11]   dream v03: mean V = -4.4800
[06:11:11]   selected v02 (mean V = -4.4800) for the next round
[06:11:11] === round 2/4: online rollout with policy_round_02.py ===
[06:11:11]   round 0: batch=[0, 0, 0, 0] (legal=[0])
[06:11:47]     node 1 (branch 0, depth 1) -4.500 | Penalize bins based on the gap between remaining capacity and item size, favoring larger g
[06:11:47]     node 2 (branch 1, depth 1) -4.500 | Penalize bins based on the gap between remaining capacity and item size, favoring both lar
[06:11:47]     node 3 (branch 2, depth 1) -4.500 | Penalize bins based on the gap between remaining capacity and item size, favoring gaps pro
[06:11:47]     node 4 (branch 3, depth 1) -4.500 | Penalize bins based on the gap between remaining capacity and item size, but also consider
[06:11:47]   round 1: batch=[0, 0, 0, 0] (legal=[0, 1, 2, 3, 4])
[06:12:19]     node 5 (branch 4, depth 1) FAIL: runtime error: candidate.py:9: RuntimeWarning: divide by zero encountered in div | Penalize bins based on the logarithm of the remaining capacity and the gap to the smallest
[06:12:19]     node 6 (branch 5, depth 1) -4.500 | Penalize bins based on the gap between remaining capacity and item size, favoring larger g
[06:12:19]     node 7 (branch 6, depth 1) -4.500 | Penalize bins based on the square of the remaining capacity and the gap to the item size, 
[06:12:19]     node 8 (branch 7, depth 1) -4.500 | Penalize bins based on the gap between remaining capacity and item size, favoring exact fi
[06:12:19]   round 2: policy chose to stop
[06:12:19] round 2 done: 8 calls in 67.8s, round best -4.5, best so far -4.5 (held-out -10.800000000000011), cumulative 32
[06:12:19] --- dreaming over 2 replay world(s) ---
[06:12:19]   dream v00 (incumbent): mean V = -4.5020
