[13:33:15] run fixed_qwen2_5-coder_7b_s2: {"W": 4, "max_branches": 8, "max_depth": 6, "K1": 10, "K2": 10, "M": 4, "beta1": 0.005, "beta2": 0.01, "baseline_score": -2.7749999999999915, "seed_program": "funsearch_or", "mode": "fixed", "model": "qwen2.5-coder:7b", "policy_model": "qwen2.5-coder:7b", "rounds": 4, "sampling_seed": 2, "temperature": 0.8, "policy_temperature": 0.7, "policy_timeout": 30.0, "num_ctx": 8192, "num_predict": 1200, "policy_num_predict": 2500, "task": "binpack_uniform_c150", "train_spec": {"seed": 10, "n_inst": 40, "n_items": 200, "cap": 150, "lo": 1, "hi": 100}, "heldout_spec": {"seed": 777, "n_inst": 20, "n_items": 500, "cap": 150, "lo": 1, "hi": 100}, "reference_scores": {"first_fit": -2.7249999999999943, "best_fit": -2.174999999999997, "funsearch_or": -2.7749999999999915}, "code_commit": "29aa5b2", "repair_rounds": 2, "novelty_threshold": 0.95, "embed_model": "bge-m3"}
[13:33:15] baseline scores: {'first_fit': -2.7249999999999943, 'best_fit': -2.174999999999997, 'funsearch_or': -2.7749999999999915}
[13:33:15] === round 1/4: online rollout with policy_round_01.py ===
[13:33:15]   round 0: batch=[0, 0, 0, 0] (legal=[0])
[13:33:43]     node 1 (branch 0, depth 1) -2.775 | Improve the bin selection by considering a more nuanced approach to bin capacity
[13:33:43]     node 2 (branch 1, depth 1) -132.225 | Use a logarithmic scale for bin preferences to prioritize larger bins less and s
[13:33:43]     node 3 (branch 2, depth 1) -2.775 | unspecified
[13:33:43]     node 4 (branch 3, depth 1) -132.225 | unspecified
[13:33:43]   round 1: batch=[1, 2, 3, 4] (legal=[0, 1, 2, 3, 4])
[13:34:12]     node 5 (branch 0, depth 2) -132.225 | Adjust the priority function to give higher scores to larger remaining capacitie
[13:34:12]     node 6 (branch 1, depth 2) -132.225 dup=round_01#2 novelty-retry | Use a modified logarithmic scale to prioritize larger bins less and smaller bins
[13:34:12]     node 7 (branch 2, depth 2) -2.175 | unspecified
[13:34:12]     node 8 (branch 3, depth 2) -132.225 | Use a more nuanced approach to bin capacity by considering both remaining capaci
[13:34:12]   round 2: batch=[5, 6, 7, 8] (legal=[0, 5, 6, 7, 8])
[13:34:53]     node 9 (branch 0, depth 3) -132.225 | Adjust the priority function to give higher scores to larger remaining capacitie
[13:34:53]     node 10 (branch 1, depth 3) -132.225 | Use a modified logarithmic scale to prioritize larger bins less and smaller bins
[13:34:53]     node 11 (branch 2, depth 3) -132.225 | Improve bin selection by considering both remaining capacity and a penalty for c
[13:34:53]     node 12 (branch 3, depth 3) -19.325 dup=round_01#8 novelty-retry | Use a combination of remaining capacity and item size to prioritize bins
[13:34:53]   round 3: batch=[9, 10, 11, 12] (legal=[0, 9, 10, 11, 12])
[13:36:33]     node 13 (branch 0, depth 4) FAIL: runtime error: ValueError: priority returned NaN or inf values repaired=Falsex2 dup=round_01#9 novelty-retry | Introduce a penalty for bins that are already very close to being full and use a
[13:36:33]     node 14 (branch 1, depth 4) -132.225 dup=round_01#10 novelty-retry | Use a weighted sum of the logarithmic and linear terms to balance the preference
[13:36:33]     node 15 (branch 2, depth 4) -132.225 dup=round_01#11 novelty-retry | Prioritize bins based on a combination of remaining capacity and a penalty for c
