[07:00:38] run fixed_r4: {"W": 4, "max_branches": 8, "max_depth": 6, "K1": 10, "K2": 12, "M": 4, "beta1": 0.005, "beta2": 0.01, "baseline_score": -2.7749999999999915, "seed_program": "funsearch_or", "mode": "fixed", "model": "qwen2.5-coder:7b", "policy_model": "qwen2.5-coder:7b", "rounds": 4}
[07:00:38] baseline scores: {'first_fit': -2.7249999999999943, 'best_fit': -2.174999999999997, 'funsearch_or': -2.7749999999999915}
[07:00:38] === round 1/4: online rollout with policy_round_01.py ===
[07:00:38]   round 0: batch=[0, 0, 0, 0] (legal=[0])
[07:02:00]     node 1 (branch 0, depth 1) -2.775 | Introduce a penalty for bins with leftover space smaller than the smallest item (20) to en
[07:02:00]     node 2 (branch 1, depth 1) -2.150 | Add a preference for already-used bins over fresh ones to reduce fragmentation.
[07:02:00]     node 3 (branch 2, depth 1) -2.325 | Use a piecewise linear function for gap thresholds and add a small penalty for unused bins
[07:02:00]     node 4 (branch 3, depth 1) -2.175 | Introduce a tie-breaker term based on best-fit, but with a smaller weight to ensure the he
[07:02:00]   round 1: batch=[1, 2, 3, 4] (legal=[0, 1, 2, 3, 4])
[07:03:46]     node 5 (branch 0, depth 2) -2.775 | Introduce a penalty for bins with leftover space smaller than the smallest item (20) and a
[07:03:46]     node 6 (branch 1, depth 2) FAIL: runtime error: IndexError: only integers, slices (`:`), ellipsis (`...`), numpy. | Introduce a preference for already-used bins over fresh ones to reduce fragmentation and a
[07:03:46]     node 7 (branch 2, depth 2) -2.325 | Introduce a penalty for bins with leftover space smaller than the smallest item and adjust
[07:03:46]     node 8 (branch 3, depth 2) -2.175 | Introduce a tie-breaker term based on best-fit, but with a smaller weight to ensure the he
[07:03:46]   round 2: batch=[5, 6, 7, 8] (legal=[0, 5, 6, 7, 8])
[07:05:40]     node 9 (branch 0, depth 3) -2.775 | Introduce a penalty for bins with leftover space smaller than the smallest item (20) and a
[07:05:40]     node 10 (branch 1, depth 3) -2.725 | Introduce a preference for already-used bins over fresh ones to reduce fragmentation and a
[07:05:40]     node 11 (branch 2, depth 3) FAIL: runtime error: IndexError: only integers, slices (`:`), ellipsis (`...`), numpy. | Introduce a piecewise linear function for gap thresholds and add a penalty for bins with l
[07:05:40]     node 12 (branch 3, depth 3) -2.775 | Introduce a penalty for bins with leftover space smaller than the smallest item to encoura
[07:05:40]   round 3: batch=[9, 10, 11, 12] (legal=[0, 9, 10, 11, 12])
[07:07:43]     node 13 (branch 0, depth 4) -2.775 | Introduce a penalty for bins with leftover space smaller than the smallest item (20) and a
[07:07:43]     node 14 (branch 1, depth 4) -2.725 | Introduce a preference for already-used bins over fresh ones to reduce fragmentation and a
[07:07:43]     node 15 (branch 2, depth 4) FAIL: runtime error: IndexError: only integers, slices (`:`), ellipsis (`...`), numpy. | Introduce a piecewise linear function for gap thresholds and add a penalty for bins with l
[07:07:43]     node 16 (branch 3, depth 4) -2.650 | Introduce a penalty for bins with leftover space smaller than the smallest item and a pref
[07:07:43]   round 4: batch=[13, 14, 15, 16] (legal=[0, 13, 14, 15, 16])
[07:09:59]     node 17 (branch 0, depth 5) -2.775 | Introduce a penalty for bins with leftover space smaller than the smallest item (20) and a
[07:09:59]     node 18 (branch 1, depth 5) -2.725 | Introduce a preference for already-used bins over fresh ones to reduce fragmentation and a
[07:09:59]     node 19 (branch 2, depth 5) FAIL: runtime error: IndexError: only integers, slices (`:`), ellipsis (`...`), numpy. | Introduce a piecewise linear function for gap thresholds and add a penalty for bins with l
[07:09:59]     node 20 (branch 3, depth 5) -2.650 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:09:59]   round 5: batch=[17, 18, 19, 20] (legal=[0, 17, 18, 19, 20])
[07:12:16]     node 21 (branch 0, depth 6) -2.775 | Introduce a penalty for bins with leftover space smaller than the smallest item (20) and a
[07:12:16]     node 22 (branch 1, depth 6) -2.725 | Introduce a penalty for bins with leftover space smaller than the smallest item and a pref
[07:12:16]     node 23 (branch 2, depth 6) FAIL: runtime error: IndexError: only integers, slices (`:`), ellipsis (`...`), numpy. | Introduce a piecewise linear function for gap thresholds and add a penalty for bins with l
[07:12:16]     node 24 (branch 3, depth 6) -2.575 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:12:16]   round 6: policy chose to stop
[07:12:16] round 1 done: 24 calls in 698.6s, round best -2.1499999999999915, best so far -2.1499999999999915 (held-out -4.25), cumulative 24
[07:12:16] === round 2/4: online rollout with policy_round_02.py ===
[07:12:16]   round 0: batch=[0, 0, 0, 0] (legal=[0])
[07:14:06]     node 1 (branch 0, depth 1) -132.225 | Introduce a penalty for bins with leftover space smaller than the smallest item (20) and a
[07:14:06]     node 2 (branch 1, depth 1) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a non
[07:14:06]     node 3 (branch 2, depth 1) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item and adjust
[07:14:06]     node 4 (branch 3, depth 1) -2.150 | Introduce a preference for already-used bins over fresh ones to reduce fragmentation and a
[07:14:06]   round 1: batch=[1, 2, 3, 4] (legal=[0, 1, 2, 3, 4])
[07:16:20]     node 5 (branch 0, depth 2) -132.225 | Introduce a penalty for bins with leftover space smaller than the smallest item (20) and a
[07:16:20]     node 6 (branch 1, depth 2) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:16:20]     node 7 (branch 2, depth 2) -2.275 | Introduce a penalty for bins with leftover space smaller than the smallest item and adjust
[07:16:20]     node 8 (branch 3, depth 2) -2.175 | Introduce a preference for already-used bins over fresh ones to reduce fragmentation and a
[07:16:20]   round 2: batch=[5, 6, 7, 8] (legal=[0, 5, 6, 7, 8])
[07:18:38]     node 9 (branch 0, depth 3) -132.225 | Introduce a penalty for bins with leftover space smaller than the smallest item (20) and a
[07:18:38]     node 10 (branch 1, depth 3) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:18:38]     node 11 (branch 2, depth 3) -2.275 | Introduce a penalty for bins with leftover space smaller than the smallest item and adjust
