[12:11:02] run dream_qwen2_5-coder_7b_s1: {"W": 4, "max_branches": 8, "max_depth": 6, "K1": 10, "K2": 10, "M": 4, "beta1": 0.005, "beta2": 0.01, "baseline_score": -2.7749999999999915, "seed_program": "funsearch_or", "mode": "dream", "model": "qwen2.5-coder:7b", "policy_model": "qwen2.5-coder:7b", "rounds": 4, "sampling_seed": 1, "temperature": 0.8, "policy_temperature": 0.7, "policy_timeout": 30.0, "num_ctx": 8192, "num_predict": 1200, "policy_num_predict": 2500, "task": "binpack_uniform_c150", "train_spec": {"seed": 10, "n_inst": 40, "n_items": 200, "cap": 150, "lo": 1, "hi": 100}, "heldout_spec": {"seed": 777, "n_inst": 20, "n_items": 500, "cap": 150, "lo": 1, "hi": 100}, "reference_scores": {"first_fit": -2.7249999999999943, "best_fit": -2.174999999999997, "funsearch_or": -2.7749999999999915}, "code_commit": "29aa5b2", "repair_rounds": 2, "novelty_threshold": 0.95, "embed_model": "bge-m3"}
[12:11:02] baseline scores: {'first_fit': -2.7249999999999943, 'best_fit': -2.174999999999997, 'funsearch_or': -2.7749999999999915}
[12:11:02] === round 1/4: online rollout with policy_round_01.py ===
[12:11:02]   round 0: batch=[0, 0, 0, 0] (legal=[0])
[12:11:41]     node 1 (branch 0, depth 1) -2.775 | Improve the priority function to give higher priority to bins with larger remain
[12:11:41]     node 2 (branch 1, depth 1) -16.500 | Use a piecewise linear function to prioritize bins based on remaining capacity
[12:11:41]     node 3 (branch 2, depth 1) -2.275 | Use a piecewise linear function with more breakpoints to better capture the trad
[12:11:41]     node 4 (branch 3, depth 1) -2.775 | Use a logarithmic scale for the preference scores to give more weight to very la
[12:11:42]   round 1: batch=[1, 2, 3, 4] (legal=[0, 1, 2, 3, 4])
[12:12:38]     node 5 (branch 0, depth 2) -2.175 novelty-retry | Use a linear decay function for preference scores based on remaining capacity.
[12:12:38]     node 6 (branch 1, depth 2) -132.225 novelty-retry | Use a logarithmic scale for the preference scores to give more weight to very la
[12:12:38]     node 7 (branch 2, depth 2) -132.225 novelty-retry | Use a logarithmic scale for the preference scores to give more weight to very la
[12:12:38]     node 8 (branch 3, depth 2) -132.225 | Use a logarithmic scale for the preference scores to give more weight to very la
[12:12:38]   round 2: batch=[5, 6, 7, 8] (legal=[0, 5, 6, 7, 8])
[12:14:08]     node 9 (branch 0, depth 3) -2.175 dup=round_01#5 novelty-retry | Use a quadratic decay function for preference scores based on remaining capacity
[12:14:08]     node 10 (branch 1, depth 3) -2.175 novelty-retry | Use a piecewise linear function with more breakpoints to better capture the trad
[12:14:08]     node 11 (branch 2, depth 3) FAIL: runtime error: TypeError: ufunc 'bitwise_and' not supported for the input types, repaired=Falsex2 | Use a piecewise linear function with more breakpoints to better capture the trad
[12:14:08]     node 12 (branch 3, depth 3) FAIL: runtime error: ValueError: priority returned NaN or inf values repaired=Falsex2 | Use a logarithmic scale for the preference scores to give more weight to very la
[12:14:08]   round 3: batch=[9, 10, 11, 12] (legal=[0, 9, 10, 11, 12])
[12:16:13]     node 13 (branch 0, depth 4) -132.225 dup=round_01#5 novelty-retry | Use an exponential decay function for preference scores based on remaining capac
[12:16:13]     node 14 (branch 1, depth 4) -2.175 novelty-retry | Use an exponential decay function for preference scores based on remaining capac
[12:16:13]     node 15 (branch 2, depth 4) FAIL: runtime error: TypeError: ufunc 'bitwise_and' not supported for the input types, repaired=Falsex2 dup=round_01#11 novelty-retry | Use a piecewise exponential function with more breakpoints to better capture the
[12:16:13]     node 16 (branch 3, depth 4) FAIL: runtime error: ValueError: priority returned NaN or inf values repaired=Falsex2 dup=round_01#12 novelty-retry | Use a logarithmic scale for the preference scores to give more weight to very la
[12:16:13]   round 4: batch=[13, 14, 15, 16] (legal=[0, 13, 14, 15, 16])
[12:18:19]     node 17 (branch 0, depth 5) -2.175 novelty-retry | Use a combination of linear and quadratic decay functions for preference scores 
[12:18:19]     node 18 (branch 1, depth 5) FAIL: runtime error: IndexError: index 8 is out of bounds for axis 0 with size 8 | Fil repaired=Falsex2 | Use a piecewise linear function to prioritize bins based on remaining capacity w
[12:18:19]     node 19 (branch 2, depth 5) -2.875 dup=round_01#15 novelty-retry | Use a piecewise exponential function with more breakpoints to better capture the
[12:18:19]     node 20 (branch 3, depth 5) -6.725 dup=round_01#12 novelty-retry | Use a logarithmic scale for the preference scores to give more weight to very la
[12:18:19]   round 5: batch=[17, 18, 19, 20] (legal=[0, 17, 18, 19, 20])
[12:21:05]     node 21 (branch 0, depth 6) -21.275 | Use a modified exponential decay function with a logarithmic adjustment to prior
[12:21:05]     node 22 (branch 1, depth 6) FAIL: runtime error: IndexError: index 6 is out of bounds for axis 0 with size 6 | Fil repaired=Falsex2 dup=round_01#18 novelty-retry | Use a piecewise linear function to prioritize bins based on remaining capacity w
[12:21:05]     node 23 (branch 2, depth 6) -52.200 repaired=Truex1 dup=round_01#15 novelty-retry | Use a combination of linear and exponential functions to capture the trade-off b
[12:21:05]     node 24 (branch 3, depth 6) -2.175 dup=round_01#12 novelty-retry | Use a multiplicative factor based on the remaining capacity and a logarithmic de
[12:21:05]   round 6: policy chose to stop
[12:21:05] round 1 done: 24 calls in 603.4s, round best -2.174999999999997, best so far -2.174999999999997 (held-out -4.199999999999989), cumulative 24
[12:21:05] --- dreaming over 1 replay world(s) ---
[12:21:06]   dream v00 (incumbent): mean V = -2.2550
[12:21:35]   dream v01: mean V = -inf  FAILED: policy crashed:     if x == view.root and len(batch) < view.root_slots(): |        ^ | NameError: name 'x' is not define
[12:22:04]   dream v02: mean V = -2.2550
[12:22:27]   dream v03: mean V = -2.2850
[12:22:27]   selected v00 (incumbent) (mean V = -2.2550) for the next round
[12:22:27] === round 2/4: online rollout with policy_round_02.py ===
[12:22:27]   round 0: batch=[0, 0, 0, 0] (legal=[0])
[12:23:29]     node 1 (branch 0, depth 1) -2.175 | Use a logarithmic decay function for preference scores based on remaining capaci
[12:23:29]     node 2 (branch 1, depth 1) -2.175 dup=round_01#5 novelty-retry | Use a logarithmic decay function for preference scores based on remaining capaci
[12:23:29]     node 3 (branch 2, depth 1) -2.150 | Use a modified piecewise linear function with a focus on encouraging the use of 
[12:23:29]     node 4 (branch 3, depth 1) -2.175 | Use a multiplicative factor based on remaining capacity and a logarithmic decay 
[12:23:29]   round 1: batch=[1, 2, 3, 4] (legal=[0, 1, 2, 3, 4])
[12:24:48]     node 5 (branch 0, depth 2) -5.275 | Use a modified piecewise linear function with a focus on encouraging the use of 
[12:24:48]     node 6 (branch 1, depth 2) -132.225 dup=round_02#4 novelty-retry | Use a multiplicative factor based on remaining capacity and a logarithmic decay 
[12:24:48]     node 7 (branch 2, depth 2) -9.200 dup=round_02#3 novelty-retry | Use a modified exponential decay function for preference scores based on remaini
[12:24:48]     node 8 (branch 3, depth 2) -4.125 | Use a combination of linear and logarithmic decay functions to balance between r
